FlowCell Text Data File: yeast-undigested.csv
Software Version: 1.44A
Date: 2018-01-23
Time: 13:40:49
User: Kai

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW40Ti
Speed: 35 rpm
Gradient: Succ 5.0% to 45.0% v/v
Time: 2,5
w2t:  x 10^0
Number of Tubes: 2
Sample Volume:  ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 280 mm
Total Dead Volume (= last fraction): 0.294 ml
Scan Speed: 0.25 mm/sec
Total Distance: 84.8 mm
Upper Limit to Slow-down Distance: 37.50 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 40
Distance/fraction: 2.12 mm
Volume/fraction: 0.302 ml
Data Samples/mm: 15.04

*** SCANNING SETTINGS ***
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 266 ms
PD1 (260 nm) On Time: 56 ms
Sample A Zero: 869632
Source A Zero: 316282.4

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
341377, 315887, 10.53, 1.910721, , 
349190, 315797, 10.60, 1.863837, , 
358611, 315782, 10.67, 1.809268, 5, 0.302
366896, 315833, 10.73, 1.762865, , 
373174, 315854, 10.80, 1.728286, , 
378939, 315772, 10.87, 1.696387, , 
383969, 315820, 10.93, 1.669717, , 
390137, 315870, 11.00, 1.637434, , 
397295, 315859, 11.06, 1.600162, , 
404647, 315899, 11.13, 1.562903, , 
413347, 315885, 11.20, 1.519287, , 
420844, 315752, 11.26, 1.481647, , 
429728, 315802, 11.33, 1.439227, , 
437701, 315767, 11.40, 1.401386, , 
444900, 315946, 11.46, 1.369166, , 
452562, 315865, 11.53, 1.333704, , 
459996, 315686, 11.59, 1.299207, , 
466911, 315839, 11.66, 1.269668, , 
474505, 315823, 11.73, 1.236554, , 
480376, 315782, 11.79, 1.211127, , 
484472, 315768, 11.86, 1.193664, , 
490461, 315824, 11.93, 1.168888, , 
493468, 315850, 11.99, 1.156550, , 
498512, 315964, 12.06, 1.136480, , 
504584, 316012, 12.13, 1.112020, , 
510861, 315842, 12.19, 1.085622, , 
517308, 315770, 12.26, 1.059495, , 
522856, 315777, 12.32, 1.037714, , 
525636, 315733, 12.39, 1.026578, , 
531313, 315717, 12.46, 1.004495, , 
536165, 315788, 12.52, 0.986354, , 
542044, 315832, 12.59, 0.964326, , 
547087, 315835, 12.65, 0.945397, , 
552509, 315791, 12.72, 0.924934, , 
556112, 315960, 12.78, 0.912729, 6, 0.302
558657, 316076, 12.85, 0.904137, , 
559825, 316006, 12.92, 0.899411, , 
563126, 315884, 12.98, 0.886591, , 
567007, 315959, 13.05, 0.873024, , 
573030, 315918, 13.12, 0.851138, , 
577915, 315946, 13.18, 0.833951, , 
581743, 315926, 13.25, 0.820313, , 
585576, 315803, 13.31, 0.806079, , 
588619, 315960, 13.38, 0.796490, , 
591512, 315841, 13.45, 0.785688, , 
594601, 315764, 13.51, 0.774532, , 
597135, 315749, 13.58, 0.765733, , 
600028, 315749, 13.65, 0.755844, , 
603060, 315884, 13.71, 0.746405, , 
604671, 315842, 13.78, 0.740675, , 
605673, 315843, 13.85, 0.737293, , 
605809, 315829, 13.91, 0.736743, , 
607209, 315759, 13.98, 0.731567, , 
610516, 315810, 14.04, 0.720784, , 
614578, 315744, 14.11, 0.706788, , 
619174, 315838, 14.18, 0.692152, , 
623132, 315783, 14.24, 0.678758, , 
626187, 315783, 14.31, 0.668751, , 
629383, 315780, 14.40, 0.658315, , 
631789, 315779, 14.47, 0.650502, , 
633328, 315732, 14.53, 0.645219, , 
635077, 315783, 14.60, 0.639907, , 
634924, 315760, 14.66, 0.640251, , 
635421, 315754, 14.73, 0.638611, , 
635426, 315736, 14.80, 0.638478, , 
635425, 315775, 14.86, 0.638734, 7, 0.296
637621, 315744, 14.93, 0.631474, , 
637757, 315823, 15.00, 0.631550, , 
642809, 315737, 15.06, 0.614848, , 
648133, 315718, 15.13, 0.597848, , 
651024, 315657, 15.19, 0.588346, , 
653456, 315740, 15.26, 0.581255, , 
654326, 315779, 15.33, 0.578785, , 
655801, 315741, 15.39, 0.573932, , 
657773, 315622, 15.46, 0.567017, , 
659059, 315798, 15.53, 0.564161, , 
660057, 315755, 15.59, 0.560787, , 
663065, 315659, 15.65, 0.550861, , 
663273, 315691, 15.72, 0.550427, , 
664190, 315656, 15.79, 0.547373, , 
665065, 315751, 15.85, 0.545295, , 
665384, 315819, 15.92, 0.544754, , 
667391, 315732, 15.99, 0.538028, , 
669984, 315886, 16.05, 0.531092, , 
670258, 315745, 16.12, 0.529342, , 
671274, 315671, 16.18, 0.525763, , 
672161, 315676, 16.25, 0.523093, , 
672109, 315738, 16.32, 0.523653, , 
673342, 315778, 16.38, 0.520162, , 
675699, 315806, 16.45, 0.513194, , 
674485, 315839, 16.52, 0.517087, , 
676380, 315783, 16.58, 0.510984, , 
676215, 315776, 16.65, 0.511438, , 
676163, 315853, 16.72, 0.512094, , 
676758, 315810, 16.78, 0.510016, , 
676562, 315809, 16.85, 0.510602, , 
677119, 315751, 16.91, 0.508542, , 
678209, 315687, 16.98, 0.504836, 8, 0.302
678881, 315863, 17.05, 0.503950, , 
680978, 315804, 17.11, 0.497258, , 
682821, 315859, 17.18, 0.492084, , 
681630, 315767, 17.25, 0.495060, , 
684589, 315816, 17.31, 0.486514, , 
686239, 315872, 17.38, 0.481951, , 
684773, 315840, 17.44, 0.486120, , 
686647, 315749, 17.51, 0.479938, , 
685981, 315737, 17.57, 0.481846, , 
685040, 315760, 17.64, 0.484804, , 
