FlowCell Text Data File: yeast-undigested.csv
Software Version: 1.44A
Date: 2018-01-23
Time: 13:40:49
User: Kai

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW40Ti
Speed: 35 rpm
Gradient: Succ 5.0% to 45.0% v/v
Time: 2,5
w2t:  x 10^0
Number of Tubes: 2
Sample Volume:  ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 280 mm
Total Dead Volume (= last fraction): 0.294 ml
Scan Speed: 0.25 mm/sec
Total Distance: 84.8 mm
Upper Limit to Slow-down Distance: 37.50 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 40
Distance/fraction: 2.12 mm
Volume/fraction: 0.302 ml
Data Samples/mm: 15.04

*** SCANNING SETTINGS ***
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 266 ms
PD1 (260 nm) On Time: 56 ms
Sample A Zero: 869632
Source A Zero: 316282.4

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
438775, 316283, 74.68, 1.399712, , 
440103, 316254, 74.74, 1.393341, , 
435772, 316389, 74.81, 1.414450, , 
434571, 316396, 74.88, 1.420142, , 
433259, 316379, 74.94, 1.426219, , 
430817, 316353, 75.01, 1.437616, , 
428382, 316344, 75.08, 1.449155, , 
426908, 316194, 75.14, 1.455237, , 
423831, 316233, 75.20, 1.470290, , 
420979, 316240, 75.27, 1.484151, , 
420446, 316300, 75.34, 1.487131, , 
415980, 316396, 75.40, 1.509602, , 
413327, 316570, 75.47, 1.523818, , 
414894, 316597, 75.54, 1.516250, , 
408633, 316535, 75.60, 1.546962, , 
407776, 316402, 75.67, 1.550398, , 
406924, 316306, 75.73, 1.554056, , 
403844, 316393, 75.80, 1.570165, , 
402038, 316327, 75.87, 1.578909, , 
403567, 316583, 75.93, 1.572797, , 
399769, 316547, 76.00, 1.591912, , 
399432, 316450, 76.07, 1.593010, , 
398906, 316409, 76.13, 1.595441, , 
395715, 316473, 76.20, 1.612289, , 
396205, 316415, 76.26, 1.609382, , 
395292, 316486, 76.33, 1.614561, , 
393278, 316544, 76.40, 1.625388, 36, 0.302
394103, 316437, 76.46, 1.620408, , 
392519, 316384, 76.53, 1.628306, , 
392858, 316332, 76.60, 1.626203, , 
392805, 316283, 76.66, 1.626162, , 
391783, 316317, 76.73, 1.631713, , 
393248, 316431, 76.80, 1.624813, , 
393059, 316342, 76.86, 1.625221, , 
392398, 316356, 76.93, 1.628755, , 
392251, 316333, 76.99, 1.629373, , 
395270, 316539, 77.06, 1.615018, , 
393225, 316540, 77.13, 1.625637, , 
395688, 316449, 77.19, 1.612273, , 
396069, 316457, 77.26, 1.610356, , 
393131, 316515, 77.32, 1.625965, , 
397648, 316496, 77.39, 1.602467, , 
396571, 316338, 77.45, 1.606994, , 
396824, 316292, 77.52, 1.605392, , 
400796, 316258, 77.59, 1.584793, , 
397293, 316342, 77.65, 1.603298, , 
399317, 316412, 77.72, 1.593354, , 
402399, 316367, 77.79, 1.577331, , 
401014, 316363, 77.85, 1.584360, , 
402814, 316361, 77.92, 1.575183, , 
406243, 316357, 77.99, 1.557813, , 
403113, 316480, 78.06, 1.574435, , 
405476, 316511, 78.13, 1.562676, , 
407473, 316470, 78.19, 1.552358, , 
405908, 316573, 78.26, 1.560898, , 
406980, 316444, 78.32, 1.554667, , 
407649, 316342, 78.39, 1.550647, , 
406199, 316330, 78.46, 1.557860, 37, 0.294
408031, 316340, 78.52, 1.548718, , 
408183, 316484, 78.59, 1.548887, , 
408658, 316539, 78.66, 1.546863, , 
407612, 316421, 78.72, 1.551344, , 
409936, 316501, 78.79, 1.540228, , 
408625, 316501, 78.85, 1.546782, , 
409319, 316607, 78.92, 1.543995, , 
409303, 316567, 78.99, 1.543817, , 
408545, 316420, 79.05, 1.546659, , 
409490, 316316, 79.12, 1.541259, , 
408843, 316280, 79.19, 1.544262, , 
405706, 316295, 79.25, 1.560119, , 
407351, 316346, 79.31, 1.552169, , 
405560, 316332, 79.38, 1.561095, , 
401835, 316335, 79.45, 1.579994, , 
403835, 316280, 79.51, 1.569480, , 
401260, 316281, 79.58, 1.582575, , 
400383, 316209, 79.65, 1.586586, , 
398995, 316453, 79.71, 1.595270, , 
397475, 316391, 79.78, 1.602678, , 
396791, 316393, 79.84, 1.606215, , 
396701, 316449, 79.91, 1.607042, , 
391103, 316409, 79.98, 1.635862, , 
393411, 316412, 80.04, 1.623842, , 
393625, 316477, 80.11, 1.623150, , 
388717, 316505, 80.18, 1.649004, , 
390491, 316445, 80.24, 1.639299, , 
388756, 316443, 80.31, 1.648398, , 
385882, 316476, 80.38, 1.663794, , 
386644, 316512, 80.44, 1.659990, , 
384688, 316451, 80.51, 1.669973, , 
382591, 316523, 80.57, 1.681623, 38, 0.302
384287, 316577, 80.64, 1.672921, , 
383100, 316492, 80.71, 1.678702, , 
379928, 316401, 80.77, 1.695125, , 
382330, 316474, 80.84, 1.682702, , 
380266, 316450, 80.91, 1.693623, , 
377728, 316448, 80.97, 1.707312, , 
381681, 316474, 81.04, 1.686178, , 
381813, 316347, 81.10, 1.684649, , 
378331, 316358, 81.17, 1.703466, , 
383191, 316381, 81.24, 1.677498, , 
380858, 316457, 81.30, 1.690485, , 
379228, 316469, 81.37, 1.699338, , 
382239, 316321, 81.43, 1.682200, , 
382514, 316354, 81.50, 1.680942, , 
382655, 316338, 81.56, 1.680084, , 
384879, 316304, 81.63, 1.668006, , 
384087, 316320, 81.70, 1.672325, , 
383416, 316321, 81.76, 1.675909, , 
385655, 316387, 81.83, 1.664422, , 
385415, 316304, 81.90, 1.665159, , 
385392, 316399, 81.96, 1.665896, , 
389013, 316423, 82.03, 1.646916, , 
387500, 316305, 82.09, 1.654126, , 
388921, 316320, 82.16, 1.646734, , 
390359, 316275, 82.23, 1.638891, , 
389359, 316238, 82.29, 1.643900, , 
389632, 316312, 82.36, 1.642945, , 
391021, 316382, 82.43, 1.636116, , 
389868, 316389, 82.49, 1.642204, , 
391703, 316404, 82.56, 1.632693, , 
392184, 316416, 82.63, 1.630260, , 
389316, 316495, 82.69, 1.645788, , 
392855, 316551, 82.76, 1.627635, 40, 0.009
391083, 316463, 82.82, 1.636316, , 
389145, 316499, 82.89, 1.646713, , 
392494, 316357, 82.96, 1.628261, , 
390706, 316400, 83.02, 1.637882, , 
389900, 316471, 83.09, 1.642566, , 
390993, 316473, 83.16, 1.636851, , 
387694, 316378, 83.22, 1.653574, , 
388156, 316382, 83.29, 1.651163, , 
388940, 316356, 83.35, 1.646867, , 
387560, 316301, 83.42, 1.653784, , 
390554, 316350, 83.49, 1.638355, , 
388471, 316245, 83.55, 1.648617, , 
387740, 316368, 83.62, 1.653267, , 
388701, 316492, 83.68, 1.649004, , 
391524, 316433, 83.75, 1.633816, , 
390004, 316410, 83.81, 1.641626, , 
392259, 316435, 83.88, 1.629991, , 
394747, 316384, 83.95, 1.616725, , 
392825, 316483, 84.01, 1.627351, , 
390673, 316393, 84.08, 1.638009, , 
388885, 316393, 84.15, 1.647395, , 
388192, 316335, 84.21, 1.650670, , 
388885, 316393, 86.28, 1.647395, A, 0.294
