Index	ThioU_6h
449	0.89989
450	0.89989
451	0.89989
452	0.89989
453	0.89989
454	0.89989
455	0.89989
456	0.89989
457	0.89989
458	0.89989
459	0.89989
460	0.89989
461	0.89989
462	0.89989
463	0.89989
464	0.89989
465	0.89989
466	0.89989
467	0.89989
468	0.89989
469	0.89989
470	0.89989
471	0.89989
472	0.89989
473	0.89989
474	0.89989
475	0.89989
476	0.89989
477	0.89989
478	0.89989
479	0.89989
480	0.89989
481	0.89989
482	0.89989
483	0.89989
484	0.89989
485	0.89989
486	0.89989
487	0.89989
488	0.89989
489	0.89989
490	0.89989
491	0.89989
492	0.89989
493	0.89989
494	0.89989
495	0.89989
496	0.89989
497	0.89989
498	0.89989
499	0.89989
500	0.89989
501	0.89989
502	0.89989
503	0.89989
504	0.89989
505	0.89989
506	0.89989
507	0.89989
508	0.89989
509	0.89989
510	0.89989
511	0.89989
512	0.89989
513	0.89989
514	0.89989
515	0.89989
516	0.89989
517	0.89989
518	0.89989
519	0.89989
520	0.89989
521	0.89989
522	0.89989
523	0.89989
524	0.89989
525	0.89989
526	0.89989
527	0.89989
528	0.89989
529	0.89989
530	0.89989
531	0.89989
532	0.89989
533	0.89989
534	0.89989
535	0.89989
536	0.89989
537	0.89989
538	0.89989
539	0.89989
540	0.89989
541	0.89989
542	0.89989
543	0.93738
544	0.93738
545	0.93738
546	0.93738
547	0.93738
548	0.93738
549	0.93738
550	0.93738
551	0.93738
552	0.93738
553	0.93738
554	0.89989
555	0.93738
556	0.89989
557	0.89989
558	0.89989
559	0.89989
560	0.89989
561	0.89989
562	0.89989
563	0.89989
564	0.89989
565	0.89989
566	0.89989
567	0.89989
568	0.89989
569	0.89989
570	0.89989
571	0.89989
572	0.89989
573	0.89989
574	0.89989
575	0.89989
576	0.89989
577	0.89989
578	0.89989
579	0.89989
580	0.89989
581	0.89989
582	0.89989
583	0.89989
584	0.89989
585	0.89989
586	0.89989
587	0.89989
588	0.89989
589	0.89989
590	0.93738
591	0.93738
592	0.93738
593	0.93738
594	0.93738
595	0.93738
596	0.93738
597	0.93738
598	0.93738
599	0.93738
600	0.93738
601	0.93738
602	0.93738
603	0.89989
604	0.89989
605	0.89989
606	0.89989
607	0.89989
608	0.89989
609	0.89989
610	0.89989
611	0.89989
612	0.93738
613	0.89989
614	0.89989
615	0.89989
616	0.89989
617	0.89989
618	0.89989
619	0.89989
620	0.89989
621	0.89989
622	0.89989
623	0.89989
624	0.89989
625	0.89989
626	0.93738
627	0.93738
628	0.93738
629	0.93738
630	0.93738
631	0.93738
632	0.93738
633	0.93738
634	0.93738
635	0.93738
636	0.93738
637	0.93738
638	0.93738
639	0.93738
640	0.93738
641	0.93738
642	0.93738
643	0.93738
644	0.93738
645	0.93738
646	0.93738
647	0.93738
648	0.93738
649	0.93738
650	0.93738
651	0.93738
652	0.93738
653	0.93738
654	0.93738
655	0.93738
656	0.93738
657	0.93738
658	0.93738
659	0.93738
660	0.93738
661	0.93738
662	0.93738
663	0.93738
664	0.93738
665	0.93738
666	0.93738
667	0.93738
668	0.93738
669	0.93738
670	0.93738
671	0.93738
672	0.93738
673	0.93738
674	0.93738
675	0.93738
676	0.93738
677	0.93738
678	0.93738
679	0.93738
680	0.93738
681	0.93738
682	0.93738
683	0.93738
684	0.93738
685	0.93738
686	0.93738
687	0.93738
688	0.93738
689	0.93738
690	0.93738
691	0.93738
692	0.93738
693	0.93738
694	0.93738
695	0.93738
696	0.93738
697	0.93738
698	0.93738
699	0.93738
700	0.93738
701	0.93738
702	0.93738
703	0.93738
704	0.93738
705	0.93738
706	0.93738
707	0.93738
708	0.93738
709	0.93738
710	0.93738
711	0.93738
712	0.93738
713	0.93738
714	0.93738
715	0.93738
716	0.93738
717	0.93738
718	0.93738
719	0.93738
720	0.93738
721	0.93738
722	0.93738
723	0.93738
724	0.93738
725	0.93738
726	0.93738
727	0.93738
728	0.93738
729	0.93738
730	0.93738
731	0.93738
732	0.93738
733	0.93738
734	0.93738
735	0.93738
736	0.93738
737	0.93738
738	0.93738
739	0.93738
740	0.93738
741	0.93738
742	0.93738
743	0.93738
744	0.93738
745	0.93738
746	0.97488
747	0.97488
748	0.97488
749	0.97488
750	0.97488
751	0.97488
752	0.97488
753	0.97488
754	0.97488
755	0.97488
756	0.97488
757	0.97488
758	0.97488
759	0.97488
760	0.97488
761	0.97488
762	0.97488
763	1.01237
764	1.01237
765	1.01237
766	1.01237
767	1.01237
768	1.01237
769	1.01237
770	1.01237
771	1.01237
772	1.01237
773	1.01237
774	1.01237
775	1.04987
776	1.04987
777	1.04987
778	1.04987
779	1.04987
780	1.04987
781	1.04987
782	1.04987
783	1.04987
784	1.08736
785	1.08736
786	1.08736
787	1.08736
788	1.12486
789	1.12486
790	1.12486
791	1.16235
792	1.16235
